,,,,High Turnovers,High Turnovers,High Turnovers
,pos,team,PPDA,total,shot ending,goal ending
0,1,Manchester City,11.7,363.0,50.0,9.0
1,2,Arsenal,11.0,388.0,62.0,9.0
2,3,Manchester United,12.3,328.0,61.0,4.0
3,4,Newcastle United,10.5,325.0,36.0,5.0
4,5,Liverpool,10.4,368.0,52.0,4.0
5,6,Brighton and Hove Albion,10.2,345.0,67.0,6.0
6,7,Aston Villa,12.7,293.0,46.0,4.0
7,8,Tottenham Hotspur,13.8,255.0,46.0,9.0
8,9,Brentford,12.7,271.0,43.0,9.0
9,10,Fulham,13.9,263.0,37.0,4.0
10,11,Crystal Palace,13.9,283.0,39.0,5.0
11,12,Chelsea,10.0,348.0,49.0,2.0
12,13,Wolverhampton Wanderers,12.8,265.0,50.0,1.0
13,14,West Ham United,16.2,281.0,39.0,5.0
14,15,Bournemouth,15.7,267.0,36.0,4.0
15,16,Nottingham Forest,16.6,260.0,39.0,2.0
16,17,Everton,14.8,310.0,49.0,1.0
17,18,Leicester City,12.9,279.0,50.0,7.0
18,19,Leeds United,10.5,327.0,42.0,6.0
19,20,Southampton,13.3,276.0,45.0,2.0
