,,Sequence Summaries,Sequence Summaries,Sequence Summaries,Sequence Styles,Sequence Styles,Sequence Styles
pos,team,sequence time,passes per sequence,direct speed,10+ pass OP sequences,build up attacks,direct attacks
1,Manchester City,15.38,5.3,0.98,851.0,224.0,52.0
2,Arsenal,11.49,4.11,1.25,580.0,157.0,62.0
3,Manchester United,9.62,3.68,1.35,423.0,98.0,102.0
4,Newcastle United,8.64,3.18,1.51,275.0,63.0,95.0
5,Liverpool,10.54,4.07,1.45,616.0,120.0,85.0
6,Brighton and Hove Albion,11.09,4.1,1.29,593.0,140.0,60.0
7,Aston Villa,9.03,3.19,1.3,313.0,72.0,44.0
8,Tottenham Hotspur,10.12,3.75,1.33,416.0,100.0,68.0
9,Brentford,7.24,2.77,1.49,217.0,31.0,38.0
10,Fulham,8.9,3.27,1.44,315.0,59.0,62.0
11,Crystal Palace,7.97,3.03,1.36,297.0,60.0,47.0
12,Chelsea,11.1,4.18,1.33,585.0,123.0,76.0
13,Wolverhampton Wanderers,9.52,3.47,1.25,363.0,63.0,57.0
14,West Ham United,7.9,3.04,1.62,265.0,51.0,50.0
15,Bournemouth,7.66,2.85,1.53,201.0,44.0,48.0
16,Nottingham Forest,6.56,2.5,1.64,181.0,32.0,41.0
17,Everton,7.59,2.88,1.42,224.0,39.0,54.0
18,Leicester City,8.93,3.52,1.44,370.0,69.0,54.0
19,Leeds United,6.68,2.72,1.78,182.0,30.0,57.0
20,Southampton,7.83,2.87,1.37,270.0,51.0,38.0
